id,sex,employment,marital,income,social2
100001,1,employed,1,7787,.52147394
100002,1,retired,1,9286,.072544642
100003,1,employed,1,25586,.19350153
100004,1,employed,1,57661,.90457648
100005,1,retired,0,3943,.32535771
100006,1,student,0,3840,.85635126
100007,1,employed,1,25101,.51959521
100008,1,unemployed,1,0,.82269955
100009,1,unemployed,0,28200,.66360664
100010,1,employed,0,9654,.11760561
100011,1,employed,0,5478,.92325062
100012,1,unemployed,1,0,.043922201
100013,1,employed,1,8929,.78450185
100014,1,employed,1,10829,0
100015,1,employed,1,18533,0
100016,1,employed,1,10462,0
100017,1,retired,1,9362,.13167459
100018,0,employed,1,8403,.2105567
100019,0,student,0,24267,.21253286
100020,1,employed,1,15780,.65422994
100021,1,retired,1,15790,0
100022,1,employed,0,8365,0
100023,1,employed,0,39611,.65193421
100024,1,employed,0,19831,.65184164
100025,0,retired,1,2679,0
100026,1,unemployed,0,10643,0
100027,1,employed,1,8130,.74383861
100028,0,employed,1,4872,.61995471
100029,1,student,0,3231,.055096827
100030,0,retired,0,13917,.23434696
100031,1,unemployed,1,7280,0
100032,0,employed,1,6131,.5266763
100033,0,employed,1,5591,.21667969
100034,1,retired,1,16299,.038713656
100035,1,employed,1,8467,.57483959
100036,1,unemployed,1,19345,.017616557
100037,0,student,1,0,.91261375
100038,1,employed,1,13554,.052469648
100039,1,employed,0,7411,.62071782
100040,1,employed,0,6791,.5316186
100041,1,student,0,0,.86423254
100042,1,employed,1,9401,.57066035
100043,1,employed,1,10841,.24021408
100044,1,employed,1,7533,.63152671
100045,1,employed,1,24685,.61906022
100046,1,unemployed,1,13178,.10567188
100047,0,retired,1,81650,.25165558
100048,1,retired,1,6842,0
100049,1,student,0,12221,.88105452
100050,1,employed,1,20192,.68356633
100051,1,employed,1,15656,0
100052,0,unemployed,1,8554,.33297583
100053,1,employed,1,10746,0
100054,1,employed,0,45164,0
100055,1,employed,1,10751,.56090355
100056,1,employed,0,54400,.22637451
100057,1,retired,1,8319,.22930872
100058,1,employed,0,11887,.31679177
100059,1,employed,0,23740,.28638691
100060,0,retired,0,10901,0
100061,1,retired,1,9872,0
100062,0,employed,0,20679,.55178767
100063,1,student,0,0,.78437579
100064,0,unemployed,1,21281,.83379292
100065,1,employed,0,8398,.53458077
100066,0,employed,1,6257,.019243274
100067,0,employed,1,16311,.66704482
100068,1,employed,1,7802,.45345086
100069,1,employed,1,31099,.89453167
100070,1,employed,1,6773,0
100071,1,employed,1,31490,0
100072,1,employed,1,49560,0
100073,1,employed,1,1000000,.35962188
100074,1,unemployed,0,25512,.088609777
100075,0,employed,0,17074,.83891386
100076,1,student,0,12108,.93886101
100077,0,unemployed,1,12582,.27068529
100078,1,employed,0,10174,.8294757
100079,0,student,1,0,.98208416
100080,1,employed,0,16501,.5952884
100081,1,employed,1,115449,0
100082,1,employed,1,7954,0
100083,1,student,0,7892,0
100084,1,student,0,0,.55668646
100085,1,employed,1,6512,.60566956
100086,1,employed,1,18044,0
100087,0,employed,1,13787,.31327933
100088,1,employed,1,8305,0
100089,1,unemployed,1,16153,.51060241
100090,0,employed,1,4696,.64530295
100091,0,unemployed,1,0,.54079497
100092,0,retired,0,11937,.1238569
100093,1,employed,1,264776,0
100094,1,student,0,0,.41291264
100095,1,employed,1,14234,.52939641
100096,0,student,0,0,.79283369
100097,1,employed,1,30935,.098801933
100098,1,employed,1,208494,.66014546
100099,1,student,0,0,.50272793
100100,1,employed,1,44569,.42385018
100101,1,retired,1,18208,0
100102,1,unemployed,1,0,0
100103,1,retired,1,43278,.0073495694
100104,0,employed,0,55856,.58055586
100105,0,employed,1,14406,.5119406
100106,0,employed,1,33248,.18224759
100107,0,unemployed,1,0,.74894983
100108,1,student,0,0,.70451581
100109,1,employed,1,22713,.27182287
100110,0,employed,0,10361,.72351402
100111,0,employed,1,43985,0
100112,0,employed,1,29526,0
100113,1,student,1,0,.87956142
100114,0,unemployed,0,41214,.64432627
100115,1,employed,1,67604,.58570111
100116,0,employed,1,23683,.67247587
100117,1,employed,0,5370,.76392692
100118,1,employed,0,16681,.51828808
100119,0,employed,1,6017,.11951188
100120,1,employed,1,9639,.14656146
100121,1,employed,1,19903,.64206016
100122,1,retired,1,16951,.33399153
100123,0,employed,0,10425,.58210158
100124,1,employed,1,24500,0
100125,1,employed,0,12492,.09245865
100126,1,employed,1,8871,.76370573
100127,1,employed,1,7347,.26962429
100128,1,employed,1,7059,.5960421
100129,0,unemployed,1,14337,0
100130,1,employed,1,14674,.6907317
100131,0,unemployed,1,0,.4333058
100132,1,student,0,7625,.82729936
100133,1,employed,1,27424,.95564795
100134,0,employed,0,6634,.71517241
100135,1,employed,1,12745,.9104014
100136,1,unemployed,1,45956,.59410083
100137,1,employed,1,78372,.74647033
100138,0,retired,1,6859,0
100139,1,employed,0,47300,.59060949
100140,0,employed,0,25458,0
100141,1,student,1,0,.74754024
100142,1,employed,1,6198,.17831887
100143,0,employed,1,19132,0
100144,1,employed,1,10880,.76882136
100145,0,student,1,0,.31297714
100146,1,employed,1,10110,.37308803
100147,1,employed,1,8633,0
100148,1,employed,1,9402,.87703347
100149,1,retired,1,10499,.23311046
100150,0,employed,1,9080,0
100151,1,employed,1,5693,0
100152,1,student,0,0,.03932783
100153,0,unemployed,1,22370,.62992007
100154,1,employed,1,7582,.39269307
100155,1,employed,0,20816,.84791803
100156,1,student,0,0,.92243218
100157,1,employed,1,6975,0
100158,1,unemployed,1,36602,.84223264
100159,1,employed,1,11457,.53490674
100160,1,employed,0,6716,0
100161,1,employed,1,9424,.29938737
100162,1,employed,1,11658,0
100163,1,employed,0,8877,.70860749
100164,1,employed,1,17452,.99381107
100165,1,employed,1,1000000,.07555566
100166,0,employed,1,8162,0
100167,1,employed,0,8404,0
100168,1,employed,1,41261,.67631143
100169,1,employed,1,9044,.049788598
100170,0,retired,1,5716,.31082994
100171,0,unemployed,1,6682,.86876124
100172,1,employed,1,6667,0
100173,1,student,0,7709,.7912159
100174,1,employed,1,7394,0
100175,1,employed,1,45317,0
100176,0,student,0,0,.94323969
100177,0,unemployed,0,7450,0
100178,1,unemployed,0,0,0
100179,1,student,0,0,.89463639
100180,1,employed,0,15371,.98998487
100181,0,employed,1,15395,.94719654
100182,1,unemployed,0,0,0
100183,1,employed,0,18085,.57058442
100184,1,retired,1,29013,0
100185,1,employed,1,9797,0
100186,0,employed,1,15347,.69356906
100187,1,employed,0,27497,.44544077
100188,1,employed,1,20747,.51263022
100189,1,employed,0,13902,.34541237
100190,1,employed,1,21009,.79418564
100191,0,unemployed,0,74051,.90175188
100192,1,employed,0,7093,.59278947
100193,1,employed,1,17232,.90109712
100194,1,employed,0,8509,0
100195,1,employed,1,13245,.50080109
100196,1,employed,1,9980,.50991005
100197,0,employed,0,21077,.56625056
100198,1,employed,0,10528,.74821162
100199,0,unemployed,0,0,0
100200,1,employed,0,5467,.34239143
100201,1,employed,1,10062,.16453032
100202,1,student,0,3598,.83877569
100203,1,student,0,0,.91904068
100204,1,employed,0,34612,0
100205,1,employed,1,8865,0
100206,0,employed,1,73553,.66245008
100207,1,student,0,10642,0
100208,1,retired,0,3613,.0081254831
100209,1,student,0,2646,.76880729
100210,1,employed,0,19005,.6593731
100211,1,unemployed,0,14321,.60150862
100212,1,student,0,0,.68726611
100213,0,student,0,0,.47366437
100214,0,employed,1,13732,.83606911
100215,0,employed,0,13058,.41105372
100216,1,employed,0,22018,.52756315
100217,0,retired,0,3667,.2523191
100218,1,employed,0,38401,.30152828
100219,1,employed,0,21900,.47273293
100220,1,employed,1,7045,.089029387
100221,0,retired,0,4294,.23508725
100222,1,employed,0,13057,.52123863
100223,1,employed,0,23997,.63800496
100224,1,employed,1,7117,.35240638
100225,1,student,0,5431,0
100226,1,employed,1,12236,0
100227,1,employed,1,8457,0
100228,1,student,0,0,.85151386
100229,1,employed,1,57407,.58233297
100230,1,employed,1,17733,0
100231,1,employed,0,33548,0
100232,1,employed,1,5664,0
100233,0,employed,1,47492,0
100234,0,retired,1,34059,.072888389
100235,1,employed,1,12781,.96642524
100236,1,employed,1,8134,.96490669
100237,1,student,0,0,.83575374
100238,1,retired,0,6229,.0038930229
100239,1,retired,1,6060,0
100240,0,employed,1,5707,0
100241,1,employed,1,18307,.27231863
100242,1,employed,1,11115,.14106274
100243,1,employed,0,18671,.34976897
100244,0,employed,1,8706,0
100245,1,employed,1,10344,.81609929
100246,1,retired,0,5454,.1114687
100247,1,employed,0,10754,.54661942
100248,1,employed,1,11258,.26933953
100249,1,employed,1,8567,.59138238
100250,0,employed,1,328019,.2697314
100251,1,unemployed,0,0,0
100252,1,employed,1,55206,.010922081
100253,0,employed,0,5703,.80584955
100254,1,employed,1,10011,0
100255,1,student,0,0,.083951533
100256,0,employed,1,4950,.77925891
100257,1,employed,1,11900,.51058978
100258,1,employed,1,10646,.45620176
100259,0,employed,0,80323,.15458505
100260,1,retired,1,5246,.046935432
100261,1,student,0,0,.9275431
100262,1,employed,1,23940,.47982895
100263,0,retired,0,816,.01318685
100264,0,employed,0,11340,.29596472
100265,1,employed,0,12543,.32218283
100266,0,unemployed,1,0,.24051417
100267,0,employed,0,9577,0
100268,1,employed,1,17442,.71231985
100269,1,retired,0,9247,0
100270,1,employed,1,6286,.61945504
100271,1,employed,1,7673,.7361877
100272,0,employed,0,10743,.50323808
100273,1,unemployed,1,6567,.33940357
100274,0,employed,1,29082,.67271799
100275,1,employed,0,13016,0
100276,0,unemployed,1,8099,.82030052
100277,1,retired,1,3852,.36713818
100278,1,employed,1,5255,.84463239
100279,0,unemployed,1,0,.90828902
100280,1,unemployed,0,8505,.81932342
100281,1,employed,0,8286,.59657216
100282,0,employed,1,7807,.57547253
100283,0,student,0,106090,.44900614
100284,1,student,0,0,.23234066
100285,1,employed,1,26586,0
100286,1,employed,0,9016,.633479
100287,1,employed,1,7180,.87189776
100288,1,employed,1,6770,.51721901
100289,1,student,0,17592,.9474082
100290,0,employed,1,7995,.16300559
100291,0,employed,1,5627,0
100292,1,student,0,0,.80903977
100293,0,retired,1,2126,.27749279
100294,0,employed,1,28187,.56054127
100295,0,retired,0,22361,.23696765
100296,1,employed,0,6603,.58572352
100297,1,retired,0,18529,0
100298,1,unemployed,1,6760,.51078331
100299,1,employed,1,15058,.71915412
100300,0,employed,1,6738,.90890157
100301,1,student,0,7933,.76625997
100302,0,employed,1,8071,0
100303,1,employed,1,10512,.4080767
100304,1,student,1,6987,.84857744
100305,1,student,0,9218,.93951619
100306,1,employed,1,7450,.77206987
100307,1,retired,1,14724,0
100308,1,retired,0,11302,0
100309,1,student,0,0,.81661689
100310,1,student,0,6254,.46262497
100311,1,employed,1,22986,0
100312,0,employed,1,5826,.49248031
100313,1,employed,1,15784,.65046138
100314,1,employed,0,7101,0
100315,0,employed,1,4705,.81180859
100316,0,student,0,6229,.83646327
100317,0,employed,0,6048,0
100318,1,employed,0,17207,.56313843
100319,1,student,0,34501,.84468311
100320,1,employed,1,9448,.52935779
100321,0,student,1,19462,.87437624
100322,1,employed,1,8331,0
100323,1,employed,1,222016,0
100324,1,retired,1,11338,.19921456
100325,1,employed,1,6496,0
100326,0,employed,1,16603,.16802941
100327,1,employed,1,161394,.55870593
100328,1,employed,1,14268,.50899005
100329,1,employed,1,13890,0
100330,1,employed,1,14830,.2675105
100331,0,student,0,0,.24339847
100332,0,employed,1,118676,.36102548
100333,1,employed,1,27891,.018004404
100334,1,employed,1,6149,.79980433
100335,1,unemployed,1,8554,.78689373
100336,1,employed,1,30628,.693174
100337,1,employed,1,71815,.83850157
100338,1,employed,1,7279,.60401177
100339,1,employed,1,6220,.16742857
100340,1,employed,0,11319,.98167706
100341,1,employed,1,16289,0
100342,1,employed,1,15037,0
100343,1,student,0,12863,.76040316
100344,1,employed,1,27886,.62707031
100345,1,employed,1,7993,.86585516
100346,1,employed,1,10855,0
100347,1,employed,0,16487,0
100348,1,unemployed,1,28597,.59524542
100349,1,employed,1,50458,.63748759
100350,0,employed,0,9776,.50525558
100351,1,student,0,0,.86153132
100352,0,employed,0,55070,.52006239
100353,1,employed,0,9360,.98670477
100354,1,employed,0,8523,.71421087
100355,0,employed,0,12648,.53064138
100356,1,unemployed,1,0,.77906889
100357,1,employed,1,11861,.86551648
100358,1,employed,1,37887,0
100359,1,employed,1,112740,.51033533
100360,1,employed,1,13439,.24227156
100361,0,employed,1,7023,.60379946
100362,1,retired,1,8919,0
100363,1,employed,0,12643,.76748145
100364,1,employed,0,21570,0
100365,1,student,0,2708,.54847521
100366,1,student,1,0,.9506954
100367,1,employed,1,78176,.60648471
100368,1,student,0,0,.86797488
100369,0,employed,1,64777,.60540265
100370,1,employed,1,49579,.59023654
100371,1,employed,0,9103,.74617547
100372,1,student,0,14401,0
100373,1,employed,1,7151,0
100374,0,employed,1,26343,0
100375,0,employed,1,7388,0
100376,0,unemployed,0,0,0
100377,0,unemployed,1,0,0
100378,1,student,0,0,0
100379,0,unemployed,1,0,.37244472
100380,1,employed,1,5998,.13557342
100381,1,employed,0,5966,.013373924
100382,1,unemployed,0,0,.53009671
100383,0,employed,0,10356,.21203163
100384,1,employed,0,12372,0
100385,0,unemployed,1,0,0
100386,0,retired,1,1431,0
100387,1,employed,0,17671,.5593009
100388,1,unemployed,0,9775,.2690632
100389,1,employed,0,176197,.60120672
100390,1,unemployed,1,6473,.07614617
100391,0,unemployed,0,69719,0
100392,1,employed,1,18606,.82386726
100393,1,retired,0,6000,.162139
100394,0,unemployed,0,8129,.58454061
100395,0,employed,1,4721,.53152186
100396,0,employed,1,36404,.25404784
100397,1,student,0,0,.034866892
100398,1,student,0,30299,.80932379
100399,1,unemployed,0,0,0
100400,1,employed,1,11921,.54021871
100401,1,employed,1,39999,0
100402,1,unemployed,1,0,.83207673
100403,0,student,0,0,.92705369
100404,0,employed,1,5340,.70859629
100405,1,employed,1,11197,.70205319
100406,1,employed,1,11632,.56813031
100407,1,student,0,0,.96245056
100408,1,unemployed,1,0,.58597547
100409,1,employed,0,12255,.80293727
100410,1,employed,1,14064,.1571089
100411,1,employed,0,8125,.03031615
100412,1,student,0,0,.93925905
100413,1,retired,1,24029,0
100414,1,employed,1,8866,.10698313
100415,0,employed,0,10173,.79104841
100416,1,employed,0,20723,.50263768
100417,1,employed,0,15807,0
100418,1,employed,1,26017,.61479872
100419,1,employed,1,12408,.30976346
100420,1,employed,0,12873,.55277747
100421,1,employed,1,29751,.46402717
100422,1,retired,0,4121,0
100423,1,employed,0,5313,.8498053
100424,0,employed,0,6381,0
100425,1,employed,0,17389,.87024432
100426,0,employed,1,16530,.64552766
100427,1,employed,1,9600,.59848917
100428,1,employed,0,9645,0
100429,1,employed,1,5511,.51534891
100430,1,employed,1,50212,.69824612
100431,1,employed,1,7325,.84374845
100432,1,unemployed,1,10673,.57602078
100433,0,unemployed,0,10474,.23466654
100434,1,employed,1,9892,.70197743
100435,0,student,0,4033,0
100436,0,employed,1,7326,.56918514
100437,1,student,0,0,.83409411
100438,1,employed,1,10869,.52661669
100439,0,student,0,46710,.92853528
100440,1,retired,1,5243,0
100441,1,employed,1,14319,.79364038
100442,1,employed,0,10943,.72851121
100443,1,employed,1,92758,.56151825
100444,1,employed,0,18426,0
100445,0,retired,1,7742,.37503451
100446,1,employed,0,9015,.42829201
100447,1,employed,0,14224,0
100448,1,employed,1,5615,.69934362
100449,0,employed,0,25826,0
100450,1,employed,1,22594,.86593771
100451,0,employed,0,8044,.7824086
100452,0,student,0,0,0
100453,0,student,0,0,.90062141
100454,1,employed,1,9182,.5210191
100455,1,student,0,14147,.95736289
100456,1,employed,0,28473,0
100457,0,student,0,3094,0
100458,1,retired,1,35701,.22766832
100459,1,student,0,0,.83411843
100460,1,unemployed,1,0,0
100461,1,unemployed,1,0,.76391417
100462,0,employed,1,5505,.70326596
100463,0,retired,1,3678,.33024073
100464,1,employed,1,13909,0
100465,1,employed,1,6417,.43376353
100466,0,student,1,13146,.88199794
100467,1,employed,1,11218,0
100468,0,student,0,0,.14827065
100469,0,employed,1,8660,.59228325
100470,1,student,0,0,.81069219
100471,1,student,0,0,.94074219
100472,1,employed,1,7894,.30681425
100473,1,employed,1,13772,0
100474,1,employed,1,14532,.87987494
100475,0,student,0,6480,.8435514
100476,0,unemployed,1,6035,.62392473
100477,1,employed,1,22428,.84864438
100478,1,employed,1,54423,.40755838
100479,1,employed,1,59619,.62404209
100480,1,employed,0,20187,0
100481,0,student,0,35943,.8108201
100482,1,employed,1,7525,.7902422
100483,0,student,0,0,.86459315
100484,0,employed,1,4796,.92677796
100485,1,employed,0,7138,.49155018
100486,1,retired,0,4226,.016010704
100487,1,unemployed,1,0,0
100488,1,unemployed,1,0,0
100489,1,employed,1,12785,0
100490,0,unemployed,0,0,0
100491,1,employed,1,21029,.58353996
100492,1,employed,0,80358,.016944224
100493,1,student,0,0,.83579248
100494,1,student,1,0,.83083934
100495,1,employed,1,10136,0
100496,1,employed,0,43575,.49016395
100497,1,employed,1,8359,0
100498,1,employed,1,53400,0
100499,0,unemployed,1,11938,0
100500,1,employed,0,8727,.98002857
100501,1,employed,1,15789,0
100502,1,employed,1,15538,.22094423
100503,1,employed,1,6601,.73940003
100504,1,employed,1,21328,.015934018
100505,1,retired,1,4831,.28048009
100506,1,employed,1,209636,.75019252
100507,1,retired,1,4832,.0018067606
100508,1,student,0,0,.9729352
100509,1,employed,1,14256,.86107051
100510,0,student,0,0,.9765178
