id,own,competing1,competing3,borrowertype,accepted,default,profit
100001,,.405,.23683989,0,0,0,
100002,,.092713565,.15244454,2,0,1,
100003,,.060536075,,0,0,0,
100004,.04036548,.15908191,.0044694184,0,0,0,
100005,,.94455957,.29730427,3,0,0,
100006,,.26791456,.46306804,0,0,0,
100007,,.21351427,.1529,2,0,0,
100008,,.62,.38484183,0,0,0,
100009,.041647155,.075000003,.1279,0,1,0,416.47156
100010,,.056332763,.1824552,0,0,0,
100011,,.47999999,.35350001,0,0,0,
100012,,.76855743,.39480168,0,0,1,
100013,,.1145015,,0,0,0,
100014,,.23,.2751216,2,0,1,
100015,,.117,,0,0,0,
100016,,,.26339149,0,0,0,
100017,,.40000001,,1,0,0,
100018,,.12333779,.2198,2,0,0,
100019,,.070244677,.16494906,0,0,0,
100020,,.17,.2632266,0,0,0,
100021,.092173688,.16,.2176,0,1,0,921.73688
100022,,.38091454,.54541749,0,0,0,
100023,.052183554,.10422387,.11769032,0,1,0,521.83551
100024,,.1,.1947,0,0,0,
100025,,.73299998,.23521952,1,0,1,
100026,,.37823597,.30352387,0,0,0,
100027,,,.19145255,0,0,0,
100028,,.18302053,.64520329,0,0,1,
100029,,.19,.068000004,0,0,0,
100030,,.074325368,.21297164,0,0,0,
100031,,.43000001,,0,0,0,
100032,,.491,.42895141,2,0,0,
100033,,,.2263,0,0,1,
100034,,.15099999,.054334778,3,0,0,
100035,,.11827026,.23154475,0,0,0,
100036,.079743914,.08269684,.13593896,0,1,0,797.43915
100037,,1,.22354236,0,0,0,
100038,,.15908191,,2,0,1,
100039,,.40000001,.48604974,3,0,1,
100040,,.40000001,.2062,3,0,0,
100041,,1,,0,0,0,
100042,,.35606766,.30213293,3,0,1,
100043,,.20999999,.39016783,0,0,0,
100044,,.063141733,.51405668,2,0,0,
100045,,.1,.15429534,2,0,1,
100046,,.17,.385847,1,0,0,
100047,.074211575,.051278923,.1683,0,0,0,
100048,,.29773176,,0,0,0,
100049,,.11550717,.17650461,2,0,0,
100050,.076754428,.40000001,.17659999,2,1,0,767.54431
100051,,.163,.26575559,0,0,0,
100052,,.37099999,.3501316,0,0,1,
100053,,.28799999,,0,0,0,
100054,.046163291,.19302052,.1332,0,1,0,461.6329
100055,,.40000001,,0,0,0,
100056,,.042214707,.13185857,0,0,0,
100057,,.4178547,,0,0,1,
100058,,.31889704,.40602833,0,0,1,
100059,,.35090813,.1198525,0,0,0,
100060,,.24795853,.28389099,0,0,0,
100061,,.096570633,.099758066,0,0,0,
100062,.075527512,.30000001,,0,1,0,755.27509
100063,,1,.75723308,0,0,1,
100064,.041175984,.12775581,.16490045,1,1,0,411.75983
100065,,.40000001,.29500878,0,0,0,
100066,,0,.21422747,2,0,0,
100067,.071915083,.12449222,,0,1,0,719.15082
100068,,.405,.26634586,0,0,0,
100069,.045646753,.03549308,.18205245,1,0,0,
100070,,.37,,0,0,1,
100071,.089272104,.023021571,.077148907,0,0,0,
100072,.040733665,.07,.1496,0,1,0,407.33664
100073,.040229861,.075000003,.090000004,0,1,0,402.29861
100074,.053790864,.18302053,.061345056,3,0,0,
100075,,.14438024,.119,0,0,0,
100076,,.20897421,.27923852,0,0,0,
100077,,.233,.1742,0,0,0,
100078,,.22351426,.41354513,3,0,0,
100079,,.39468628,.26499462,0,0,0,
100080,,.23,,0,0,0,
