,sex,employment,marital,income,social2,rate
0,1,employed,1,7787,0.52147394,
1,1,retired,1,9286,0.072544642,
2,1,employed,1,25586,0.19350153,
3,1,employed,1,57661,0.90457648,0.04036548082753792
4,1,retired,0,3943,0.32535771,
5,1,student,0,3840,0.85635126,
6,1,employed,1,25101,0.51959521,
7,1,unemployed,1,0,0.82269955,
8,1,unemployed,0,28200,0.66360664,0.04164715309620264
9,1,employed,0,9654,0.11760561,
10,1,employed,0,5478,0.92325062,
11,1,unemployed,1,0,0.043922201,
12,1,employed,1,8929,0.78450185,
13,1,employed,1,10829,0.0,
14,1,employed,1,18533,0.0,
15,1,employed,1,10462,0.0,
16,1,retired,1,9362,0.13167459,
17,0,employed,1,8403,0.2105567,
18,0,student,0,24267,0.21253286,
19,1,employed,1,15780,0.65422994,
20,1,retired,1,15790,0.0,0.09217368812412763
21,1,employed,0,8365,0.0,
22,1,employed,0,39611,0.65193421,0.05218355237338183
23,1,employed,0,19831,0.65184164,
24,0,retired,1,2679,0.0,
25,1,unemployed,0,10643,0.0,
26,1,employed,1,8130,0.74383861,
27,0,employed,1,4872,0.61995471,
28,1,student,0,3231,0.055096827,
29,0,retired,0,13917,0.23434696,
30,1,unemployed,1,7280,0.0,
31,0,employed,1,6131,0.5266763,
32,0,employed,1,5591,0.21667969,
33,1,retired,1,16299,0.038713656,
34,1,employed,1,8467,0.57483959,
35,1,unemployed,1,19345,0.017616557,0.07974391613445816
36,0,student,1,0,0.91261375,
37,1,employed,1,13554,0.052469648,
38,1,employed,0,7411,0.62071782,
39,1,employed,0,6791,0.5316186,
40,1,student,0,0,0.86423254,
41,1,employed,1,9401,0.57066035,
42,1,employed,1,10841,0.24021408,
43,1,employed,1,7533,0.63152671,
44,1,employed,1,24685,0.61906022,
45,1,unemployed,1,13178,0.10567188,
46,0,retired,1,81650,0.25165558,0.07421157194980205
47,1,retired,1,6842,0.0,
48,1,student,0,12221,0.88105452,
49,1,employed,1,20192,0.68356633,0.07675442949948755
50,1,employed,1,15656,0.0,
51,0,unemployed,1,8554,0.33297583,
52,1,employed,1,10746,0.0,
53,1,employed,0,45164,0.0,0.046163291391233624
54,1,employed,1,10751,0.56090355,
55,1,employed,0,54400,0.22637451,
56,1,retired,1,8319,0.22930872,
